size,run,elapsed_ns,mbps,cycles,cpb
{
  "summary": [
2048,0,1294871,301.67,4402524,1.07e+01
2048,1,1587251,246.10,5396684,1.32e+01
2048,2,1559981,250.40,5303932,1.29e+01
2048,3,1410691,276.90,4796346,1.17e+01
2048,4,1494501,261.37,5081300,1.24e+01
2048,5,1016970,384.11,3457698,8.44e+00
2048,6,1000201,390.55,3400680,8.30e+00
2048,7,1000180,390.55,3400645,8.30e+00
2048,8,1004161,389.01,3414144,8.34e+00
2048,9,1002870,389.51,3409725,8.32e+00
2048,10,1002861,389.51,3409724,8.32e+00
2048,11,1002860,389.51,3409724,8.32e+00
2048,12,1005681,388.42,3419312,8.35e+00
2048,13,1007100,387.87,3424107,8.36e+00
2048,14,1011311,386.26,3438454,8.39e+00
2048,15,1010471,386.58,3435631,8.39e+00
2048,16,1037660,376.45,3528044,8.61e+00
2048,17,1011461,386.20,3438964,8.40e+00
2048,18,1011380,386.23,3438725,8.40e+00
2048,19,1011391,386.23,3438726,8.40e+00
2048,20,1016480,384.29,3456032,8.44e+00
2048,21,1017391,383.95,3459126,8.45e+00
2048,22,1015541,384.65,3452836,8.43e+00
2048,23,1013700,385.35,3446580,8.41e+00
2048,24,1018871,383.39,3464158,8.46e+00
2048,25,1014450,385.06,3449130,8.42e+00
2048,26,1017921,383.75,3460928,8.45e+00
2048,27,1019820,383.03,3467355,8.47e+00
2048,28,1021841,382.28,3474256,8.48e+00
2048,29,1017880,383.76,3460792,8.45e+00
2048,30,1017871,383.77,3460758,8.45e+00
2048,31,1017881,383.76,3460792,8.45e+00
2048,32,1025890,380.77,3488026,8.52e+00
2048,33,1028571,379.77,3497138,8.54e+00
2048,34,1027390,380.21,3493126,8.53e+00
2048,35,1025721,380.83,3487415,8.51e+00
2048,36,1020080,382.94,3468272,8.47e+00
2048,37,1015851,384.53,3453890,8.43e+00
2048,38,1015850,384.53,3453890,8.43e+00
2048,39,1018171,383.65,3461778,8.45e+00
2048,40,1017561,383.88,3459704,8.45e+00
2048,41,1017560,383.88,3459704,8.45e+00
2048,42,1017551,383.89,3459703,8.45e+00
2048,43,1019810,383.04,3467387,8.47e+00
2048,44,1016981,384.10,3457732,8.44e+00
2048,45,1016990,384.10,3457766,8.44e+00
2048,46,1018171,383.65,3461778,8.45e+00
2048,47,1031750,378.60,3507950,8.56e+00
2048,48,1022751,381.94,3477350,8.49e+00
2048,49,1015431,384.69,3452462,8.43e+00
2048,50,1021990,382.22,3474733,8.48e+00
2048,51,1018731,383.44,3463649,8.46e+00
2048,52,1017210,384.02,3458547,8.44e+00
2048,53,1019971,382.98,3467898,8.47e+00
2048,54,1015300,384.74,3452053,8.43e+00
2048,55,1019521,383.15,3466368,8.46e+00
2048,56,1023511,381.65,3479934,8.50e+00
2048,57,1015910,384.51,3454094,8.43e+00
2048,58,1128241,346.22,3836016,9.37e+00
2048,59,1497911,260.78,5092894,1.24e+01
2048,60,1249510,312.62,4248368,1.04e+01
2048,61,1371091,284.90,4661706,1.14e+01
2048,62,1030861,378.93,3504957,8.56e+00
2048,63,1018490,383.53,3462866,8.45e+00
2048,64,1020401,382.82,3469360,8.47e+00
2048,65,1017730,383.82,3460282,8.45e+00
2048,66,1027101,380.32,3492140,8.53e+00
2048,67,1025880,380.77,3487992,8.52e+00
2048,68,1025991,380.73,3488366,8.52e+00
2048,69,1025920,380.76,3488128,8.52e+00
2048,70,1032051,378.49,3508970,8.57e+00
2048,71,1016371,384.33,3455658,8.44e+00
2048,72,1016380,384.33,3455692,8.44e+00
2048,73,1016391,384.33,3455726,8.44e+00
2048,74,1038150,376.27,3529710,8.62e+00
2048,75,1019221,383.26,3465381,8.46e+00
2048,76,1019190,383.27,3465279,8.46e+00
2048,77,1021601,382.37,3473407,8.48e+00
2048,78,1015801,384.55,3453720,8.43e+00
2048,79,1016720,384.20,3456815,8.44e+00
2048,80,1015811,384.54,3453787,8.43e+00
2048,81,1017890,383.76,3460826,8.45e+00
