size,run,elapsed_ns,mbps,cycles,cpb
2048,0,176870,2208.54,601256,1.47e+00
2048,1,176741,2210.15,600814,1.47e+00
2048,2,176630,2211.54,600542,1.47e+00
2048,3,176520,2212.92,600168,1.47e+00
2048,4,179880,2171.59,611592,1.49e+00
2048,5,173470,2251.83,589798,1.44e+00
2048,6,173470,2251.83,589798,1.44e+00
2048,7,173470,2251.83,589798,1.44e+00
2048,8,173470,2251.83,589832,1.44e+00
2048,9,208390,1874.49,708492,1.73e+00
2048,10,145610,2682.68,495074,1.21e+00
2048,11,134830,2897.17,458456,1.12e+00
2048,12,134921,2895.21,458762,1.12e+00
2048,13,134920,2895.23,458762,1.12e+00
2048,14,134930,2895.02,458762,1.12e+00
2048,15,134920,2895.23,458728,1.12e+00
2048,16,134930,2895.02,458728,1.12e+00
2048,17,142800,2735.47,485520,1.19e+00
2048,18,134850,2896.74,458490,1.12e+00
2048,19,134860,2896.52,458524,1.12e+00
2048,20,134860,2896.52,458490,1.12e+00
2048,21,153830,2539.33,522988,1.28e+00
2048,22,134930,2895.02,458762,1.12e+00
2048,23,134920,2895.23,458762,1.12e+00
2048,24,134920,2895.23,458762,1.12e+00
2048,25,134931,2895.00,458762,1.12e+00
2048,26,134930,2895.02,458728,1.12e+00
2048,27,134930,2895.02,458728,1.12e+00
2048,28,134920,2895.23,458762,1.12e+00
2048,29,134930,2895.02,458728,1.12e+00
2048,30,134930,2895.02,458728,1.12e+00
2048,31,152480,2561.81,518432,1.27e+00
2048,32,119390,3271.84,405926,9.91e-01
2048,33,109160,3578.46,371178,9.06e-01
2048,34,109150,3578.79,371110,9.06e-01
2048,35,109150,3578.79,371110,9.06e-01
2048,36,109150,3578.79,371144,9.06e-01
2048,37,109150,3578.79,371110,9.06e-01
2048,38,109150,3578.79,371110,9.06e-01
2048,39,109150,3578.79,371110,9.06e-01
2048,40,114081,3424.10,387872,9.47e-01
2048,41,134930,2895.02,458762,1.12e+00
2048,42,134930,2895.02,458762,1.12e+00
2048,43,134930,2895.02,458728,1.12e+00
2048,44,134840,2896.95,458456,1.12e+00
2048,45,134840,2896.95,458456,1.12e+00
2048,46,134920,2895.23,458728,1.12e+00
2048,47,134920,2895.23,458728,1.12e+00
2048,48,141530,2760.02,481236,1.17e+00
2048,49,134950,2894.59,458830,1.12e+00
2048,50,134930,2895.02,458728,1.12e+00
2048,51,134930,2895.02,458728,1.12e+00
2048,52,134920,2895.23,458728,1.12e+00
2048,53,134931,2895.00,458762,1.12e+00
2048,54,134930,2895.02,458728,1.12e+00
2048,55,134930,2895.02,458728,1.12e+00
2048,56,134930,2895.02,458728,1.12e+00
2048,57,134920,2895.23,458728,1.12e+00
2048,58,134930,2895.02,458728,1.12e+00
2048,59,134930,2895.02,458728,1.12e+00
2048,60,147120,2655.15,500174,1.22e+00
2048,61,134940,2894.81,458762,1.12e+00
2048,62,143450,2723.07,487730,1.19e+00
2048,63,176630,2211.54,600542,1.47e+00
2048,64,176630,2211.54,600576,1.47e+00
2048,65,217651,1794.73,740044,1.81e+00
2048,66,176590,2212.04,600406,1.47e+00
2048,67,176540,2212.67,600202,1.47e+00
2048,68,185550,2105.23,630870,1.54e+00
2048,69,187720,2080.89,638248,1.56e+00
2048,70,176550,2212.55,600270,1.47e+00
2048,71,195990,1993.09,666400,1.63e+00
2048,72,205520,1900.67,698768,1.71e+00
2048,73,186130,2098.67,632842,1.55e+00
2048,74,176540,2212.67,600236,1.47e+00
2048,75,176531,2212.78,600236,1.47e+00
2048,76,176540,2212.67,600270,1.47e+00
2048,77,176420,2214.18,599862,1.46e+00
2048,78,176540,2212.67,600236,1.47e+00
2048,79,187380,2084.67,637092,1.56e+00
2048,80,176450,2213.80,599930,1.46e+00
2048,81,202230,1931.59,687582,1.68e+00
2048,82,190070,2055.16,646272,1.58e+00
2048,83,176670,2211.04,600678,1.47e+00
2048,84,176630,2211.54,600542,1.47e+00
2048,85,176611,2211.78,600474,1.47e+00
2048,86,176630,2211.54,600508,1.47e+00
2048,87,176630,2211.54,600542,1.47e+00
2048,88,176520,2212.92,600168,1.47e+00
2048,89,192740,2026.69,655282,1.60e+00
2048,90,176540,2212.67,600236,1.47e+00
2048,91,176530,2212.80,600236,1.47e+00
2048,92,176430,2214.05,599896,1.46e+00
2048,93,176540,2212.67,600236,1.47e+00
2048,94,176540,2212.67,600236,1.47e+00
2048,95,185541,2105.33,630870,1.54e+00
