size,run,elapsed_ns,mbps,cycles,cpb
2048,0,2063761,189.28,7016716,1.71e+01
2048,1,2052281,190.34,6977684,1.70e+01
2048,2,2053842,190.19,6983056,1.70e+01
2048,3,2096981,186.28,7129732,1.74e+01
2048,4,2054711,190.11,6986014,1.71e+01
2048,5,2050861,190.47,6972924,1.70e+01
2048,6,2050751,190.48,6972550,1.70e+01
2048,7,2033661,192.08,6914444,1.69e+01
2048,8,1720201,227.08,5848714,1.43e+01
2048,9,1272771,306.91,4327384,1.06e+01
2048,10,1522911,256.50,5177894,1.26e+01
2048,11,1757921,222.21,5976996,1.46e+01
2048,12,1266410,308.45,4305794,1.05e+01
2048,13,1514521,257.92,5149368,1.26e+01
2048,14,1559331,250.51,5301722,1.29e+01
2048,15,1615681,241.77,5493516,1.34e+01
2048,16,1442121,270.87,4903208,1.20e+01
2048,17,1563401,249.86,5315594,1.30e+01
2048,18,1947171,200.61,6620480,1.62e+01
2048,19,1575071,248.00,5355238,1.31e+01
2048,20,1582800,246.79,5381520,1.31e+01
2048,21,1613061,242.16,5484676,1.34e+01
2048,22,1569111,248.95,5334940,1.30e+01
2048,23,1572021,248.49,5344834,1.30e+01
2048,24,1561371,250.18,5308692,1.30e+01
2048,25,1412321,276.58,4801854,1.17e+01
2048,26,1077010,362.69,3661902,8.94e+00
2048,27,1011951,386.01,3440663,8.40e+00
2048,28,1033890,377.82,3515260,8.58e+00
2048,29,1022941,381.86,3477996,8.49e+00
2048,30,1010780,386.46,3436619,8.39e+00
2048,31,1010801,386.45,3436720,8.39e+00
2048,32,1018101,383.68,3461540,8.45e+00
2048,33,1009210,387.06,3431281,8.38e+00
2048,34,1009211,387.06,3431314,8.38e+00
2048,35,1026230,380.64,3489216,8.52e+00
2048,36,1026791,380.43,3491086,8.52e+00
2048,37,1038560,376.12,3531138,8.62e+00
2048,38,1022871,381.89,3477792,8.49e+00
2048,39,1013711,385.34,3446648,8.41e+00
2048,40,1019220,383.26,3465348,8.46e+00
2048,41,1014751,384.95,3450117,8.42e+00
2048,42,1101400,354.66,3744760,9.14e+00
2048,43,1164421,335.47,3959062,9.67e+00
2048,44,1024340,381.34,3482756,8.50e+00
2048,45,1017171,384.03,3458378,8.44e+00
2048,46,1022491,382.03,3476466,8.49e+00
2048,47,1034950,377.43,3518898,8.59e+00
2048,48,1034161,377.72,3516144,8.58e+00
2048,49,1025050,381.08,3485170,8.51e+00
2048,50,1025011,381.09,3485034,8.51e+00
2048,51,1044020,374.15,3549668,8.67e+00
2048,52,1014771,384.94,3450218,8.42e+00
2048,53,1015171,384.79,3451578,8.43e+00
2048,54,1031060,378.86,3505637,8.56e+00
2048,55,1053261,370.87,3581084,8.74e+00
2048,56,1021390,382.44,3472726,8.48e+00
2048,57,1021411,382.44,3472827,8.48e+00
2048,58,1021430,382.43,3472862,8.48e+00
2048,59,1037611,376.47,3527908,8.61e+00
2048,60,1019310,383.22,3465687,8.46e+00
2048,61,1019281,383.24,3465519,8.46e+00
2048,62,1019281,383.24,3465552,8.46e+00
2048,63,1106720,352.96,3762916,9.19e+00
2048,64,1030621,379.02,3504176,8.56e+00
2048,65,1023050,381.82,3478404,8.49e+00
2048,66,1023011,381.84,3478267,8.49e+00
2048,67,1132061,345.06,3849106,9.40e+00
2048,68,1034190,377.71,3516212,8.58e+00
2048,69,1026361,380.59,3489591,8.52e+00
2048,70,1275350,306.29,4336258,1.06e+01
2048,71,1022971,381.85,3478132,8.49e+00
2048,72,1020240,382.88,3468816,8.47e+00
2048,73,1020221,382.88,3468781,8.47e+00
2048,74,1022651,381.97,3477010,8.49e+00
2048,75,1019110,383.30,3464974,8.46e+00
2048,76,1019121,383.30,3465041,8.46e+00
