size,run,elapsed_ns,mbps,cycles,cpb
2048,0,468930,833.01,1594260,3.89e+00
2048,1,572290,682.56,1945922,4.75e+00
2048,2,484060,806.98,1645804,4.02e+00
2048,3,468581,833.63,1593172,3.89e+00
2048,4,468520,833.74,1592968,3.89e+00
2048,5,468500,833.78,1592900,3.89e+00
2048,6,468480,833.81,1592832,3.89e+00
2048,7,468751,833.33,1593750,3.89e+00
2048,8,468800,833.24,1593920,3.89e+00
2048,9,481380,811.47,1636726,4.00e+00
2048,10,460141,848.92,1564476,3.82e+00
2048,11,370470,1054.40,1259598,3.08e+00
2048,12,289590,1348.89,984606,2.40e+00
2048,13,289590,1348.89,984606,2.40e+00
2048,14,315560,1237.88,1072938,2.62e+00
2048,15,357970,1091.22,1217098,2.97e+00
2048,16,357941,1091.31,1216996,2.97e+00
2048,17,357900,1091.44,1216860,2.97e+00
2048,18,357800,1091.74,1216520,2.97e+00
2048,19,357980,1091.19,1217166,2.97e+00
2048,20,364400,1071.97,1238994,3.02e+00
2048,21,357911,1091.40,1216928,2.97e+00
2048,22,357890,1091.47,1216860,2.97e+00
2048,23,373290,1046.44,1269186,3.10e+00
2048,24,360270,1084.26,1224918,2.99e+00
2048,25,391990,996.52,1332766,3.25e+00
2048,26,468401,833.95,1592560,3.89e+00
2048,27,474890,822.56,1614660,3.94e+00
2048,28,483110,808.56,1642574,4.01e+00
2048,29,471260,828.89,1602318,3.91e+00
2048,30,485421,804.71,1650394,4.03e+00
2048,31,481280,811.64,1636352,4.00e+00
2048,32,480670,812.67,1634312,3.99e+00
2048,33,483880,807.28,1645294,4.02e+00
2048,34,468561,833.67,1593138,3.89e+00
2048,35,479870,814.02,1631558,3.98e+00
2048,36,478740,815.94,1627716,3.97e+00
2048,37,481061,812.01,1635604,3.99e+00
2048,38,485880,803.95,1651992,4.03e+00
2048,39,480990,812.13,1635400,3.99e+00
2048,40,478970,815.55,1628498,3.98e+00
2048,41,473731,824.57,1610682,3.93e+00
2048,42,468600,833.60,1593206,3.89e+00
2048,43,470880,829.56,1600992,3.91e+00
2048,44,501990,778.15,1706868,4.17e+00
2048,45,504471,774.33,1715300,4.19e+00
2048,46,496430,786.87,1687964,4.12e+00
2048,47,490190,796.88,1666714,4.07e+00
2048,48,468730,833.37,1593716,3.89e+00
2048,49,468681,833.46,1593512,3.89e+00
2048,50,468310,834.12,1592220,3.89e+00
2048,51,468740,833.35,1593716,3.89e+00
2048,52,469061,832.78,1594804,3.89e+00
2048,53,468900,833.07,1594294,3.89e+00
2048,54,477920,817.34,1624928,3.97e+00
2048,55,484320,806.54,1646688,4.02e+00
2048,56,487541,801.21,1657602,4.05e+00
2048,57,475700,821.16,1617414,3.95e+00
2048,58,475910,820.80,1618128,3.95e+00
2048,59,468760,833.32,1593818,3.89e+00
2048,60,468771,833.30,1593852,3.89e+00
2048,61,468620,833.56,1593308,3.89e+00
2048,62,468360,834.03,1592424,3.89e+00
2048,63,477560,817.96,1623670,3.96e+00
2048,64,468581,833.63,1593172,3.89e+00
2048,65,468530,833.72,1593036,3.89e+00
2048,66,471480,828.51,1603032,3.91e+00
2048,67,468480,833.81,1592866,3.89e+00
2048,68,468401,833.95,1592560,3.89e+00
2048,69,469040,832.82,1594736,3.89e+00
2048,70,468580,833.64,1593172,3.89e+00
2048,71,468710,833.40,1593614,3.89e+00
2048,72,479041,815.43,1628736,3.98e+00
2048,73,468540,833.71,1593002,3.89e+00
2048,74,468830,833.19,1594022,3.89e+00
2048,75,472920,825.99,1607962,3.93e+00
2048,76,468601,833.60,1593206,3.89e+00
2048,77,476070,820.52,1618638,3.95e+00
2048,78,468530,833.72,1593002,3.89e+00
2048,79,473191,825.51,1608846,3.93e+00
2048,80,475970,820.69,1618332,3.95e+00
2048,81,468870,833.12,1594192,3.89e+00
2048,82,468540,833.71,1593070,3.89e+00
2048,83,468741,833.35,1593750,3.89e+00
2048,84,468620,833.56,1593342,3.89e+00
2048,85,468670,833.48,1593478,3.89e+00
2048,86,481550,811.18,1637270,4.00e+00
2048,87,476131,820.41,1618842,3.95e+00
2048,88,474770,822.77,1614218,3.94e+00
2048,89,468440,833.88,1592696,3.89e+00
2048,90,468420,833.92,1592628,3.89e+00
2048,91,468451,833.87,1592730,3.89e+00
2048,92,469130,832.66,1595076,3.89e+00
2048,93,468660,833.49,1593444,3.89e+00
2048,94,468480,833.81,1592832,3.89e+00
2048,95,468771,833.30,1593818,3.89e+00
2048,96,480880,812.31,1635094,3.99e+00
2048,97,475580,821.37,1616938,3.95e+00
2048,98,471490,828.49,1603066,3.91e+00
2048,99,412231,947.59,1401582,3.42e+00
4096,0,736240,1061.13,2503216,3.06e+00
4096,1,736520,1060.73,2504202,3.06e+00
4096,2,736351,1060.97,2503624,3.06e+00
4096,3,743540,1050.72,2528070,3.09e+00
4096,4,736011,1061.47,2502400,3.05e+00
4096,5,478450,1632.88,1626730,1.99e+00
4096,6,463310,1686.24,1575254,1.92e+00
4096,7,463120,1686.93,1574608,1.92e+00
4096,8,463401,1685.90,1575560,1.92e+00
4096,9,463400,1685.91,1575560,1.92e+00
4096,10,463240,1686.49,1575016,1.92e+00
