size,run,elapsed_ns,mbps,cycles,cpb
{
  "summary": [
2048,0,83420,4682.63,283594,6.92e-01
2048,1,83360,4686.00,283390,6.92e-01
2048,2,83310,4688.81,283254,6.92e-01
2048,3,83310,4688.81,283254,6.92e-01
2048,4,83021,4705.13,282268,6.89e-01
2048,5,82830,4715.98,281622,6.88e-01
2048,6,82780,4718.83,281452,6.87e-01
2048,7,82830,4715.98,281622,6.88e-01
2048,8,82820,4716.55,281621,6.88e-01
2048,9,82830,4715.98,281655,6.88e-01
2048,10,82830,4715.98,281622,6.88e-01
2048,11,82770,4719.40,281418,6.87e-01
2048,12,82770,4719.40,281418,6.87e-01
2048,13,82830,4715.98,281622,6.88e-01
2048,14,82830,4715.98,281622,6.88e-01
2048,15,82830,4715.98,281622,6.88e-01
2048,16,82830,4715.98,281655,6.88e-01
2048,17,82780,4718.83,281452,6.87e-01
2048,18,82830,4715.98,281622,6.88e-01
2048,19,82830,4715.98,281622,6.88e-01
2048,20,82830,4715.98,281622,6.88e-01
2048,21,82830,4715.98,281622,6.88e-01
2048,22,82840,4715.42,281656,6.88e-01
2048,23,82780,4718.83,281452,6.87e-01
2048,24,82830,4715.98,281622,6.88e-01
2048,25,82830,4715.98,281622,6.88e-01
2048,26,82831,4715.93,281622,6.88e-01
2048,27,82830,4715.98,281622,6.88e-01
2048,28,82540,4732.55,280636,6.85e-01
2048,29,82360,4742.90,280024,6.84e-01
2048,30,82360,4742.90,280024,6.84e-01
2048,31,82360,4742.90,280024,6.84e-01
2048,32,82360,4742.90,280024,6.84e-01
2048,33,82360,4742.90,280024,6.84e-01
2048,34,82300,4746.35,279853,6.83e-01
2048,35,82360,4742.90,280024,6.84e-01
2048,36,82360,4742.90,280024,6.84e-01
2048,37,82360,4742.90,280024,6.84e-01
2048,38,82360,4742.90,280024,6.84e-01
2048,39,82300,4746.35,279853,6.83e-01
2048,40,82360,4742.90,280024,6.84e-01
2048,41,82360,4742.90,280024,6.84e-01
2048,42,82360,4742.90,280024,6.84e-01
2048,43,82360,4742.90,280024,6.84e-01
2048,44,82360,4742.90,280024,6.84e-01
2048,45,82310,4745.78,279854,6.83e-01
2048,46,82360,4742.90,280024,6.84e-01
2048,47,85200,4584.80,289680,7.07e-01
2048,48,82361,4742.84,280024,6.84e-01
2048,49,82360,4742.90,280024,6.84e-01
2048,50,82360,4742.90,280024,6.84e-01
2048,51,101610,3844.36,345474,8.43e-01
2048,52,82360,4742.90,280024,6.84e-01
2048,53,82300,4746.35,279853,6.83e-01
2048,54,82350,4743.47,280023,6.84e-01
2048,55,82360,4742.90,280024,6.84e-01
2048,56,82360,4742.90,280024,6.84e-01
2048,57,82360,4742.90,280024,6.84e-01
2048,58,82360,4742.90,280057,6.84e-01
2048,59,82300,4746.35,279820,6.83e-01
2048,60,82360,4742.90,280024,6.84e-01
2048,61,82360,4742.90,280024,6.84e-01
2048,62,82360,4742.90,280024,6.84e-01
2048,63,82360,4742.90,280024,6.84e-01
2048,64,82310,4745.78,279854,6.83e-01
2048,65,82360,4742.90,280024,6.84e-01
2048,66,82360,4742.90,280024,6.84e-01
2048,67,82360,4742.90,280024,6.84e-01
2048,68,82360,4742.90,280024,6.84e-01
2048,69,89420,4368.43,304028,7.42e-01
2048,70,87311,4473.95,296854,7.25e-01
2048,71,82300,4746.35,279820,6.83e-01
2048,72,82360,4742.90,280024,6.84e-01
2048,73,82360,4742.90,280024,6.84e-01
2048,74,82360,4742.90,280057,6.84e-01
2048,75,82360,4742.90,280024,6.84e-01
2048,76,82360,4742.90,280024,6.84e-01
2048,77,82300,4746.35,279820,6.83e-01
2048,78,82360,4742.90,280024,6.84e-01
2048,79,82360,4742.90,280024,6.84e-01
2048,80,82370,4742.32,280025,6.84e-01
2048,81,82360,4742.90,280024,6.84e-01
2048,82,82300,4746.35,279820,6.83e-01
2048,83,82360,4742.90,280024,6.84e-01
2048,84,82360,4742.90,280024,6.84e-01
