size,run,elapsed_ns,mbps,cycles,cpb
{
  "summary": [
2048,0,468811,833.22,1593784,3.89e+00
2048,1,468390,833.97,1592458,3.89e+00
2048,2,468610,833.58,1593274,3.89e+00
2048,3,468710,833.40,1593648,3.89e+00
2048,4,476201,820.29,1619114,3.95e+00
2048,5,468500,833.78,1592900,3.89e+00
2048,6,468740,833.35,1593716,3.89e+00
2048,7,490451,796.46,1667496,4.07e+00
2048,8,468940,833.00,1594396,3.89e+00
2048,9,468650,833.51,1593444,3.89e+00
2048,10,470050,831.03,1598136,3.90e+00
2048,11,460551,848.17,1565836,3.82e+00
2048,12,460320,848.59,1565122,3.82e+00
2048,13,460240,848.74,1564816,3.82e+00
2048,14,460370,848.50,1565258,3.82e+00
2048,15,460181,848.85,1564612,3.82e+00
2048,16,470650,829.97,1600244,3.91e+00
2048,17,371440,1051.65,1262896,3.08e+00
2048,18,363170,1075.60,1234778,3.01e+00
2048,19,358170,1090.61,1217778,2.97e+00
2048,20,357951,1091.28,1217030,2.97e+00
2048,21,358050,1090.98,1217370,2.97e+00
2048,22,357950,1091.28,1217064,2.97e+00
2048,23,358250,1090.37,1218050,2.97e+00
2048,24,357980,1091.19,1217166,2.97e+00
2048,25,358111,1090.79,1217574,2.97e+00
2048,26,376870,1036.50,1281392,3.13e+00
2048,27,357940,1091.31,1217030,2.97e+00
2048,28,322400,1211.62,1096160,2.68e+00
2048,29,289850,1347.68,985490,2.41e+00
2048,30,298871,1307.00,1016158,2.48e+00
2048,31,289640,1348.66,984776,2.40e+00
2048,32,289490,1349.36,984266,2.40e+00
2048,33,289690,1348.42,984946,2.40e+00
2048,34,289560,1349.03,984504,2.40e+00
2048,35,289490,1349.36,984300,2.40e+00
2048,36,289720,1348.28,985082,2.40e+00
2048,37,289561,1349.02,984504,2.40e+00
2048,38,289550,1349.08,984470,2.40e+00
2048,39,289880,1347.54,985592,2.41e+00
2048,40,298690,1307.79,1015546,2.48e+00
2048,41,289730,1348.24,985082,2.40e+00
2048,42,289900,1347.45,985660,2.41e+00
2048,43,299981,1302.17,1020000,2.49e+00
2048,44,293960,1328.84,999464,2.44e+00
2048,45,302710,1290.43,1029214,2.51e+00
2048,46,300930,1298.06,1023162,2.50e+00
2048,47,289740,1348.19,985116,2.41e+00
2048,48,289540,1349.12,984436,2.40e+00
2048,49,289471,1349.44,984198,2.40e+00
2048,50,289640,1348.66,984776,2.40e+00
2048,51,293280,1331.92,997152,2.43e+00
2048,52,357790,1091.77,1216520,2.97e+00
2048,53,363400,1074.92,1235594,3.02e+00
2048,54,358350,1090.07,1218356,2.97e+00
2048,55,357871,1091.52,1216758,2.97e+00
2048,56,357970,1091.22,1217098,2.97e+00
2048,57,357920,1091.38,1216928,2.97e+00
2048,58,358170,1090.61,1217812,2.97e+00
2048,59,362400,1077.88,1232126,3.01e+00
2048,60,325851,1198.78,1107890,2.70e+00
2048,61,289630,1348.70,984742,2.40e+00
2048,62,289400,1349.78,983960,2.40e+00
2048,63,289440,1349.59,984130,2.40e+00
2048,64,289820,1347.82,985388,2.41e+00
2048,65,293900,1329.11,999260,2.44e+00
2048,66,289441,1349.58,984096,2.40e+00
2048,67,289530,1349.17,984402,2.40e+00
2048,68,289710,1348.33,985014,2.40e+00
2048,69,289800,1347.91,985320,2.41e+00
2048,70,289560,1349.03,984504,2.40e+00
2048,71,289520,1349.22,984368,2.40e+00
2048,72,289631,1348.70,984742,2.40e+00
2048,73,289510,1349.26,984334,2.40e+00
2048,74,296860,1315.86,1009392,2.46e+00
2048,75,289710,1348.33,985014,2.40e+00
2048,76,294890,1324.65,1002626,2.45e+00
2048,77,290380,1345.22,987292,2.41e+00
2048,78,291451,1340.28,990930,2.42e+00
2048,79,295380,1322.45,1004292,2.45e+00
2048,80,303620,1286.56,1032274,2.52e+00
2048,81,358040,1091.01,1217336,2.97e+00
2048,82,357700,1092.05,1216214,2.97e+00
2048,83,388790,1004.72,1321920,3.23e+00
