Message Size,SHA3-256(MB/s),SHA3-384(MB/s),SHA3-512(MB/s),SHA3-256 Latency(ms),SHA3-384 Latency(ms),SHA3-512 Latency(ms),SHA3-256 Cycles/byte,SHA3-384 Cycles/byte,SHA3-512 Cycles/byte
1024,301.27,258.43,190.42,0.003399,0.003962,0.005377,11.29,13.16,17.85
2048,302.82,258.80,196.87,0.006763,0.007913,0.010403,11.23,13.14,17.27
4096,308.15,260.12,199.70,0.013292,0.015747,0.020511,11.03,13.07,17.03
8192,313.03,262.75,200.38,0.026170,0.031178,0.040882,10.86,12.94,16.97
16384,314.48,263.51,200.27,0.052099,0.062175,0.081811,10.81,12.90,16.98
32768,313.58,263.40,199.25,0.104496,0.124402,0.164454,10.84,12.91,17.06
65536,313.58,262.71,199.55,0.208994,0.249460,0.328422,10.84,12.94,17.04
131072,313.80,258.73,195.34,0.417690,0.506590,0.671005,10.83,13.14,17.41
262144,306.38,255.25,192.72,0.855617,1.027013,1.360256,11.10,13.32,17.64
524288,305.11,254.54,193.90,1.718363,2.059758,2.703888,11.14,13.36,17.53
1048576,304.96,256.76,195.57,3.438357,4.083819,5.361589,11.15,13.24,17.38
