Message Size,SHA3-256(MB/s),SHA3-384(MB/s),SHA3-512(MB/s),SHA3-256 Latency(ms),SHA3-384 Latency(ms),SHA3-512 Latency(ms),SHA3-256 Cycles/byte,SHA3-384 Cycles/byte,SHA3-512 Cycles/byte
1024,91.02,74.50,51.93,0.011251,0.013745,0.019719,37.36,45.64,65.47
2048,91.22,73.73,53.28,0.022450,0.027776,0.038435,37.27,46.11,63.81
4096,93.15,73.62,54.42,0.043974,0.055636,0.075271,36.50,46.18,62.48
8192,95.10,73.94,53.04,0.086143,0.110788,0.154454,35.75,45.98,64.10
16384,94.31,73.09,52.62,0.173733,0.224176,0.311346,36.05,46.52,64.61
32768,94.15,72.89,52.24,0.348056,0.449564,0.627279,36.11,46.65,65.09
65536,92.45,71.12,51.20,0.708870,0.921424,1.279913,36.78,47.80,66.40
131072,91.29,70.67,51.17,1.435791,1.854723,2.561484,37.24,48.11,66.44
262144,91.50,70.93,51.61,2.865032,3.695732,5.079363,37.16,47.93,65.88
524288,92.90,71.32,52.22,5.643732,7.351610,10.040159,36.60,47.68,65.11
1048576,95.42,73.42,53.17,10.988639,14.281466,19.722469,35.63,46.31,63.95
