Message Size,SHA3-256(MB/s),SHA3-384(MB/s),SHA3-512(MB/s),SHA3-256 Latency(ms),SHA3-384 Latency(ms),SHA3-512 Latency(ms),SHA3-256 Cycles/byte,SHA3-384 Cycles/byte,SHA3-512 Cycles/byte
1024,468.21,379.60,253.36,0.002187,0.002698,0.004042,7.26,8.96,13.42
2048,469.81,378.20,259.63,0.004359,0.005415,0.007888,7.24,8.99,13.10
4096,490.90,381.56,262.28,0.008344,0.010735,0.015617,6.93,8.91,12.96
8192,494.52,376.94,262.75,0.016565,0.021733,0.031178,6.88,9.02,12.94
16384,496.71,384.71,264.42,0.032985,0.042588,0.061962,6.85,8.84,12.86
32768,500.26,379.49,263.20,0.065501,0.086347,0.124499,6.80,8.96,12.92
65536,491.43,378.45,261.42,0.133359,0.173170,0.250697,6.92,8.98,13.01
131072,497.47,379.75,262.01,0.263476,0.345155,0.500260,6.83,8.95,12.98
262144,493.41,377.29,261.31,0.531291,0.694806,1.003204,6.89,9.01,13.01
524288,494.55,378.37,261.54,1.060141,1.385639,2.004601,6.88,8.99,13.00
1048576,495.13,378.32,263.49,2.117763,2.771678,3.979549,6.87,8.99,12.90
