Message Size,SHA3-256(MB/s),SHA3-384(MB/s),SHA3-512(MB/s),SHA3-256 Latency(ms),SHA3-384 Latency(ms),SHA3-512 Latency(ms),SHA3-256 Cycles/byte,SHA3-384 Cycles/byte,SHA3-512 Cycles/byte
1024,303.44,256.89,185.57,0.003375,0.003986,0.005518,11.20,13.24,18.32
2048,304.97,259.09,196.02,0.006715,0.007905,0.010448,11.15,13.12,17.34
4096,308.83,256.93,191.95,0.013263,0.015942,0.021338,11.01,13.23,17.71
8192,318.91,263.14,198.99,0.025688,0.031131,0.041169,10.66,12.92,17.09
16384,318.18,258.51,196.51,0.051492,0.063379,0.083377,10.69,13.15,17.30
32768,318.42,258.97,194.60,0.102909,0.126532,0.168386,10.68,13.13,17.47
65536,316.75,257.58,196.15,0.206900,0.254430,0.334115,10.73,13.20,17.33
131072,316.04,254.07,191.99,0.414726,0.515879,0.682689,10.76,13.38,17.71
262144,308.42,250.17,189.36,0.849963,1.047847,1.384369,11.02,13.59,17.96
524288,306.51,249.35,190.35,1.710518,2.102587,2.754403,11.09,13.64,17.86
1048576,307.29,252.05,191.82,3.412378,4.160249,5.466496,11.06,13.49,17.73
