size,run,elapsed_ns,mbps,cycles,cpb
2048,0,1709111,228.55,5810804,1.42e+01
2048,1,1570941,248.66,5341162,1.30e+01
2048,2,1579081,247.37,5368906,1.31e+01
2048,3,1520521,256.90,5169870,1.26e+01
2048,4,1306000,299.10,4440400,1.08e+01
2048,5,1307991,298.65,4447132,1.09e+01
2048,6,1300841,300.29,4422856,1.08e+01
2048,7,1563191,249.89,5314846,1.30e+01
2048,8,2156411,181.15,7332100,1.79e+01
2048,9,2147851,181.87,7302860,1.78e+01
2048,10,1727111,226.17,5872174,1.43e+01
2048,11,1706271,228.93,5801318,1.42e+01
2048,12,1692361,230.82,5753990,1.40e+01
2048,13,1730411,225.74,5883428,1.44e+01
2048,14,1777781,219.73,6044452,1.48e+01
2048,15,1702351,229.46,5787990,1.41e+01
2048,16,1745361,223.81,5934190,1.45e+01
2048,17,1705221,229.08,5797748,1.42e+01
2048,18,1692801,230.76,5755486,1.41e+01
2048,19,1719021,227.24,5844702,1.43e+01
2048,20,1701561,229.57,5785304,1.41e+01
2048,21,1692620,230.78,5754874,1.40e+01
2048,22,1702421,229.45,5788228,1.41e+01
2048,23,1690881,231.02,5748992,1.40e+01
2048,24,1690901,231.02,5749094,1.40e+01
2048,25,1700631,229.69,5782142,1.41e+01
2048,26,1692611,230.78,5754908,1.41e+01
2048,27,1662501,234.96,5652500,1.38e+01
2048,28,1328881,293.95,4518226,1.10e+01
2048,29,1329060,293.91,4518804,1.10e+01
2048,30,1292251,302.28,4393616,1.07e+01
2048,31,836901,466.75,2845427,6.95e+00
2048,32,850290,459.40,2890953,7.06e+00
2048,33,837631,466.34,2847942,6.95e+00
2048,34,840940,464.51,2859196,6.98e+00
2048,35,837230,466.57,2846582,6.95e+00
2048,36,837071,466.66,2846071,6.95e+00
2048,37,837100,466.64,2846140,6.95e+00
2048,38,837351,466.50,2846990,6.95e+00
2048,39,839190,465.48,2853246,6.97e+00
2048,40,837731,466.29,2848282,6.95e+00
2048,41,839650,465.22,2854810,6.97e+00
2048,42,842391,463.71,2864126,6.99e+00
2048,43,842100,463.87,2863107,6.99e+00
2048,44,843751,462.96,2868750,7.00e+00
2048,45,842470,463.67,2864398,6.99e+00
2048,46,842401,463.70,2864160,6.99e+00
2048,47,842100,463.87,2863140,6.99e+00
2048,48,845780,461.85,2875652,7.02e+00
2048,49,843431,463.14,2867662,7.00e+00
2048,50,841970,463.94,2862698,6.99e+00
2048,51,842481,463.66,2864432,6.99e+00
2048,52,842020,463.91,2862868,6.99e+00
2048,53,846841,461.27,2879256,7.03e+00
2048,54,845660,461.92,2875211,7.02e+00
2048,55,842841,463.46,2865656,7.00e+00
2048,56,846770,461.31,2879018,7.03e+00
2048,57,846851,461.27,2879290,7.03e+00
2048,58,848820,460.20,2885988,7.05e+00
2048,59,846801,461.29,2879120,7.03e+00
2048,60,844840,462.37,2872456,7.01e+00
2048,61,841660,464.11,2861644,6.99e+00
2048,62,854561,457.11,2905504,7.09e+00
2048,63,861110,453.63,2927774,7.15e+00
2048,64,846811,461.29,2879154,7.03e+00
2048,65,846630,461.39,2878542,7.03e+00
2048,66,846771,461.31,2879018,7.03e+00
2048,67,1117560,349.53,3799738,9.28e+00
2048,68,1287121,303.49,4376242,1.07e+01
2048,69,1017591,383.87,3459874,8.45e+00
2048,70,847610,460.85,2881874,7.04e+00
2048,71,853791,457.52,2902886,7.09e+00
2048,72,848280,460.49,2884152,7.04e+00
2048,73,848271,460.50,2884118,7.04e+00
2048,74,855940,456.37,2910229,7.11e+00
2048,75,847981,460.65,2883132,7.04e+00
2048,76,850950,459.05,2893230,7.06e+00
2048,77,848510,460.37,2884934,7.04e+00
2048,78,848081,460.60,2883472,7.04e+00
2048,79,848600,460.32,2885207,7.04e+00
2048,80,850161,459.47,2890544,7.06e+00
2048,81,848690,460.27,2885546,7.04e+00
2048,82,848091,460.59,2883506,7.04e+00
2048,83,848750,460.24,2885750,7.05e+00
2048,84,840341,464.84,2857123,6.98e+00
2048,85,928030,420.92,3155370,7.70e+00
2048,86,846451,461.49,2877964,7.03e+00
2048,87,847940,460.68,2882996,7.04e+00
2048,88,850571,459.25,2891938,7.06e+00
2048,89,846320,461.56,2877488,7.03e+00
2048,90,849831,459.65,2889389,7.05e+00
2048,91,853850,457.49,2903090,7.09e+00
2048,92,850980,459.03,2893332,7.06e+00
2048,93,846621,461.39,2878508,7.03e+00
2048,94,849020,460.09,2886668,7.05e+00
2048,95,847201,461.08,2880480,7.03e+00
2048,96,851540,458.73,2895236,7.07e+00
2048,97,857431,455.58,2915262,7.12e+00
2048,98,846610,461.40,2878474,7.03e+00
2048,99,854101,457.35,2903940,7.09e+00
4096,0,1639681,476.46,5574845,6.81e+00
4096,1,1647321,474.25,5600921,6.84e+00
4096,2,1652370,472.81,5618058,6.86e+00
4096,3,1655291,471.97,5627986,6.87e+00
4096,4,1655881,471.80,5630025,6.87e+00
4096,5,1727411,452.27,5873262,7.17e+00
4096,6,1658311,471.11,5638254,6.88e+00
4096,7,1648901,473.80,5606227,6.84e+00
4096,8,1648141,474.02,5603676,6.84e+00
4096,9,1649571,473.61,5608538,6.85e+00
4096,10,1639211,476.60,5573347,6.80e+00
4096,11,1649481,473.63,5608232,6.85e+00
4096,12,1648831,473.82,5606022,6.84e+00
4096,13,1648651,473.87,5605443,6.84e+00
4096,14,1642660,475.60,5585044,6.82e+00
4096,15,1645501,474.78,5594700,6.83e+00
