size,run,elapsed_ns,mbps,cycles,cpb
2048,0,1806961,216.18,6143562,1.50e+01
2048,1,1711241,228.27,5818080,1.42e+01
2048,2,1196781,326.40,4069052,9.93e+00
2048,3,1390301,280.96,4727020,1.15e+01
2048,4,1385430,281.95,4710462,1.15e+01
2048,5,1391041,280.81,4729638,1.15e+01
2048,6,1414791,276.10,4810286,1.17e+01
2048,7,1130500,345.53,3843734,9.38e+00
2048,8,1189741,328.33,4045150,9.88e+00
2048,9,1383381,282.37,4703458,1.15e+01
2048,10,1393081,280.40,4736574,1.16e+01
2048,11,1187200,329.03,4036514,9.85e+00
2048,12,1263001,309.28,4294200,1.05e+01
2048,13,1115981,350.03,3794332,9.26e+00
2048,14,1119890,348.81,3807626,9.30e+00
2048,15,1116361,349.91,3795624,9.27e+00
2048,16,1127930,346.32,3835064,9.36e+00
2048,17,1176511,332.02,4000168,9.77e+00
2048,18,1406351,277.76,4781658,1.17e+01
2048,19,1388671,281.29,4721580,1.15e+01
2048,20,1391890,280.64,4732460,1.16e+01
2048,21,1379951,283.07,4691796,1.15e+01
2048,22,1379201,283.23,4689246,1.14e+01
2048,23,1389401,281.15,4723960,1.15e+01
2048,24,1408670,277.30,4789478,1.17e+01
2048,25,1442941,270.71,4906064,1.20e+01
2048,26,1450211,269.36,4930816,1.20e+01
2048,27,964351,405.07,3278790,8.00e+00
2048,28,901230,433.44,3064182,7.48e+00
2048,29,892371,437.74,3034058,7.41e+00
2048,30,896190,435.87,3047046,7.44e+00
2048,31,892490,437.68,3034466,7.41e+00
2048,32,892341,437.75,3033956,7.41e+00
2048,33,892500,437.68,3034500,7.41e+00
2048,34,892601,437.63,3034807,7.41e+00
2048,35,895580,436.17,3044972,7.43e+00
2048,36,892451,437.70,3034330,7.41e+00
2048,37,892130,437.86,3033242,7.41e+00
2048,38,892371,437.74,3034058,7.41e+00
2048,39,896560,435.69,3048271,7.44e+00
2048,40,892341,437.75,3033956,7.41e+00
2048,41,892450,437.70,3034330,7.41e+00
2048,42,892371,437.74,3034058,7.41e+00
2048,43,892470,437.69,3034398,7.41e+00
2048,44,896031,435.95,3046502,7.44e+00
2048,45,893190,437.34,3036879,7.41e+00
2048,46,892501,437.67,3034500,7.41e+00
2048,47,892640,437.61,3034976,7.41e+00
2048,48,901381,433.36,3064692,7.48e+00
2048,49,892350,437.75,3033990,7.41e+00
2048,50,892471,437.69,3034431,7.41e+00
2048,51,893020,437.42,3036301,7.41e+00
2048,52,896331,435.80,3047522,7.44e+00
2048,53,892420,437.71,3034261,7.41e+00
2048,54,892591,437.63,3034806,7.41e+00
