size,run,elapsed_ns,mbps,cycles,cpb
2048,0,1902421,205.33,6468160,1.58e+01
2048,1,1883941,207.34,6405362,1.56e+01
2048,2,1827691,213.73,6214180,1.52e+01
2048,3,1850421,211.10,6291428,1.54e+01
2048,4,2007551,194.58,6825738,1.67e+01
2048,5,1880961,207.67,6395162,1.56e+01
2048,6,1876601,208.16,6380440,1.56e+01
2048,7,1905921,204.95,6480128,1.58e+01
2048,8,1898231,205.78,6453948,1.58e+01
2048,9,2659432,146.88,9042198,2.21e+01
2048,10,1862501,209.73,6332602,1.55e+01
2048,11,1944791,200.86,6612286,1.61e+01
2048,12,1828911,213.58,6218328,1.52e+01
2048,13,1863211,209.65,6334914,1.55e+01
2048,14,1850441,211.10,6291496,1.54e+01
2048,15,1881071,207.66,6395672,1.56e+01
2048,16,1833201,213.08,6232880,1.52e+01
2048,17,1879581,207.83,6390572,1.56e+01
2048,18,1834291,212.96,6236620,1.52e+01
2048,19,1890261,206.65,6426884,1.57e+01
2048,20,1836151,212.74,6242944,1.52e+01
2048,21,1824681,214.08,6203912,1.51e+01
2048,22,1678311,232.75,5706254,1.39e+01
2048,23,1498801,260.62,5095954,1.24e+01
2048,24,1505081,259.54,5117272,1.25e+01
2048,25,1037710,376.43,3528214,8.61e+00
2048,26,931841,419.20,3168256,7.74e+00
2048,27,920080,424.56,3128272,7.64e+00
2048,28,925861,421.90,3147891,7.69e+00
2048,29,939870,415.62,3195558,7.80e+00
2048,30,956351,408.45,3251590,7.94e+00
2048,31,948630,411.78,3225342,7.87e+00
2048,32,929351,420.32,3159790,7.71e+00
2048,33,930900,419.62,3165027,7.73e+00
2048,34,934331,418.08,3176689,7.76e+00
2048,35,933050,418.65,3172370,7.75e+00
2048,36,937161,416.82,3186344,7.78e+00
2048,37,934380,418.06,3176925,7.76e+00
2048,38,922881,423.27,3137825,7.66e+00
2048,39,931210,419.48,3166114,7.73e+00
2048,40,927131,421.33,3152242,7.70e+00
2048,41,942190,414.59,3203446,7.82e+00
2048,42,937191,416.80,3186446,7.78e+00
2048,43,937130,416.83,3186275,7.78e+00
2048,44,939451,415.80,3194130,7.80e+00
2048,45,947780,412.15,3222452,7.87e+00
2048,46,938461,416.24,3190731,7.79e+00
2048,47,931660,419.28,3167677,7.73e+00
2048,48,935951,417.36,3182230,7.77e+00
2048,49,931621,419.30,3167508,7.73e+00
2048,50,944870,413.42,3212558,7.84e+00
2048,51,941571,414.87,3201338,7.82e+00
2048,52,936330,417.19,3183522,7.77e+00
2048,53,936281,417.21,3183385,7.77e+00
2048,54,955080,409.00,3247272,7.93e+00
2048,55,961311,406.35,3268454,7.98e+00
2048,56,951200,410.67,3234113,7.90e+00
2048,57,951001,410.75,3233400,7.89e+00
2048,58,962670,405.77,3273045,7.99e+00
2048,59,951741,410.43,3235916,7.90e+00
2048,60,947220,412.39,3220548,7.86e+00
2048,61,936731,417.01,3184915,7.78e+00
2048,62,998230,391.32,3393982,8.29e+00
2048,63,941531,414.88,3201202,7.82e+00
2048,64,941350,414.96,3200590,7.81e+00
2048,65,942771,414.34,3205418,7.83e+00
2048,66,997490,391.61,3391433,8.28e+00
2048,67,1041881,374.92,3542460,8.65e+00
2048,68,929250,420.37,3159450,7.71e+00
2048,69,940541,415.32,3197869,7.81e+00
