size,run,elapsed_ns,mbps,cycles,cpb
2048,0,1814811,215.24,6170252,1.51e+01
2048,1,1797281,217.34,6110786,1.49e+01
2048,2,1788361,218.43,6080390,1.48e+01
2048,3,1816651,215.02,6176610,1.51e+01
2048,4,1852741,210.84,6299350,1.54e+01
2048,5,1812601,215.51,6162806,1.50e+01
2048,6,1817991,214.87,6181166,1.51e+01
2048,7,1834531,212.93,6237538,1.52e+01
2048,8,1829191,213.55,6219348,1.52e+01
2048,9,1812131,215.56,6161344,1.50e+01
2048,10,1835141,212.86,6239476,1.52e+01
2048,11,1808801,215.96,6149920,1.50e+01
2048,12,1788431,218.42,6080662,1.48e+01
2048,13,1332730,293.10,4531282,1.11e+01
2048,14,1350191,289.31,4590680,1.12e+01
2048,15,1389921,281.04,4725728,1.15e+01
2048,16,1384211,282.20,4706314,1.15e+01
2048,17,1383760,282.29,4704750,1.15e+01
2048,18,1401551,278.71,4765304,1.16e+01
2048,19,1383451,282.36,4703730,1.15e+01
2048,20,1385961,281.84,4712264,1.15e+01
2048,21,1400330,278.95,4761122,1.16e+01
2048,22,1400001,279.02,4759966,1.16e+01
2048,23,1262401,309.43,4292126,1.05e+01
2048,24,1298131,300.91,4413676,1.08e+01
2048,25,1389960,281.03,4725864,1.15e+01
2048,26,1387191,281.59,4716412,1.15e+01
2048,27,1388951,281.24,4722430,1.15e+01
2048,28,1384161,282.21,4706144,1.15e+01
2048,29,1386470,281.74,4713998,1.15e+01
2048,30,1333041,293.03,4532302,1.11e+01
2048,31,901581,433.27,3065372,7.48e+00
2048,32,896540,435.70,3048236,7.44e+00
2048,33,896101,435.92,3046773,7.44e+00
2048,34,898840,434.59,3056023,7.46e+00
2048,35,897381,435.29,3051125,7.45e+00
2048,36,895210,436.35,3043714,7.43e+00
2048,37,895171,436.37,3043578,7.43e+00
2048,38,903040,432.57,3070336,7.50e+00
2048,39,895951,435.99,3046230,7.44e+00
2048,40,896090,435.92,3046706,7.44e+00
2048,41,903691,432.26,3072546,7.50e+00
2048,42,895890,436.02,3046026,7.44e+00
2048,43,898691,434.66,3055546,7.46e+00
2048,44,896170,435.88,3046945,7.44e+00
2048,45,895631,436.15,3045142,7.43e+00
2048,46,896060,435.94,3046604,7.44e+00
2048,47,898071,434.96,3053438,7.45e+00
2048,48,895430,436.24,3044495,7.43e+00
2048,49,896841,435.56,3049256,7.44e+00
2048,50,895040,436.43,3043103,7.43e+00
2048,51,896590,435.68,3048406,7.44e+00
2048,52,899211,434.41,3057314,7.46e+00
2048,53,909320,429.58,3091688,7.55e+00
2048,54,896251,435.84,3047283,7.44e+00
2048,55,895690,436.12,3045346,7.43e+00
2048,56,898581,434.71,3055139,7.46e+00
2048,57,895370,436.27,3044258,7.43e+00
2048,58,895531,436.19,3044835,7.43e+00
2048,59,896650,435.65,3048643,7.44e+00
2048,60,898161,434.92,3053744,7.46e+00
2048,61,899850,434.10,3059490,7.47e+00
2048,62,895311,436.30,3044054,7.43e+00
2048,63,896600,435.67,3048440,7.44e+00
2048,64,896831,435.56,3049255,7.44e+00
2048,65,899380,434.33,3057892,7.47e+00
2048,66,895821,436.05,3045788,7.44e+00
2048,67,896900,435.53,3049427,7.44e+00
2048,68,895691,436.12,3045346,7.43e+00
