size,run,elapsed_ns,mbps,cycles,cpb
2048,0,1546631,252.57,5258338,1.28e+01
2048,1,1537291,254.10,5226752,1.28e+01
2048,2,1412681,276.51,4803112,1.17e+01
2048,3,2012941,194.06,6844166,1.67e+01
2048,4,2645681,147.65,8995414,2.20e+01
2048,5,2678672,145.83,9107478,2.22e+01
2048,6,2367431,165.00,8049398,1.97e+01
2048,7,2263201,172.60,7694914,1.88e+01
2048,8,2314232,168.79,7868382,1.92e+01
2048,9,1886051,207.11,6412570,1.57e+01
2048,10,1698191,230.02,5773880,1.41e+01
2048,11,1770361,220.65,6019292,1.47e+01
2048,12,1757941,222.21,5977064,1.46e+01
2048,13,1444250,270.47,4910484,1.20e+01
2048,14,1130041,345.67,3842102,9.38e+00
2048,15,1110321,351.81,3775088,9.22e+00
2048,16,1110290,351.82,3774986,9.22e+00
2048,17,1135461,344.02,3860530,9.43e+00
2048,18,1315701,296.89,4473346,1.09e+01
2048,19,1134440,344.33,3857062,9.42e+00
2048,20,1138481,343.11,3870832,9.45e+00
2048,21,1124860,347.27,3824524,9.34e+00
2048,22,1110811,351.66,3776754,9.22e+00
2048,23,1110841,351.65,3776856,9.22e+00
2048,24,945140,413.30,3213476,7.85e+00
2048,25,901451,433.33,3064930,7.48e+00
2048,26,898080,434.96,3053472,7.45e+00
2048,27,1012491,385.81,3442466,8.40e+00
2048,28,1118850,349.13,3804090,9.29e+00
2048,29,1117371,349.59,3799058,9.28e+00
2048,30,1125131,347.18,3825476,9.34e+00
2048,31,1110820,351.65,3776822,9.22e+00
2048,32,1080761,361.44,3674584,8.97e+00
2048,33,718840,543.41,2444056,5.97e+00
2048,34,718871,543.39,2444191,5.97e+00
2048,35,718700,543.52,2443580,5.97e+00
2048,36,718800,543.44,2443953,5.97e+00
2048,37,718701,543.52,2443613,5.97e+00
2048,38,722360,540.76,2456024,6.00e+00
2048,39,718661,543.55,2443444,5.97e+00
2048,40,718700,543.52,2443580,5.97e+00
2048,41,725710,538.27,2467414,6.02e+00
2048,42,722771,540.45,2457418,6.00e+00
2048,43,727920,536.63,2474928,6.04e+00
2048,44,722981,540.30,2458132,6.00e+00
2048,45,722980,540.30,2458099,6.00e+00
2048,46,723020,540.27,2458301,6.00e+00
2048,47,723031,540.26,2458302,6.00e+00
2048,48,723030,540.26,2458302,6.00e+00
2048,49,728361,536.31,2476424,6.05e+00
2048,50,727120,537.22,2472208,6.04e+00
2048,51,738850,528.69,2512090,6.13e+00
2048,52,727101,537.24,2472140,6.04e+00
2048,53,727060,537.27,2472004,6.04e+00
2048,54,731301,534.15,2486420,6.07e+00
2048,55,727230,537.14,2472582,6.04e+00
2048,56,727090,537.24,2472139,6.04e+00
2048,57,727141,537.21,2472276,6.04e+00
2048,58,727130,537.21,2472242,6.04e+00
2048,59,727111,537.23,2472174,6.04e+00
2048,60,731280,534.17,2486352,6.07e+00
2048,61,727670,536.82,2474078,6.04e+00
2048,62,727671,536.82,2474078,6.04e+00
2048,63,727760,536.75,2474384,6.04e+00
2048,64,727670,536.82,2474078,6.04e+00
2048,65,730971,534.39,2485298,6.07e+00
2048,66,727660,536.82,2474044,6.04e+00
2048,67,727671,536.82,2474078,6.04e+00
2048,68,727750,536.76,2474350,6.04e+00
2048,69,727700,536.79,2474180,6.04e+00
2048,70,727701,536.79,2474180,6.04e+00
2048,71,730490,534.74,2483666,6.06e+00
2048,72,727161,537.19,2472344,6.04e+00
2048,73,737850,529.41,2508690,6.12e+00
2048,74,727051,537.27,2472003,6.04e+00
2048,75,727080,537.25,2472105,6.04e+00
2048,76,730480,534.75,2483632,6.06e+00
2048,77,727081,537.25,2472072,6.04e+00
2048,78,727110,537.23,2472207,6.04e+00
2048,79,727090,537.24,2472139,6.04e+00
2048,80,727121,537.22,2472208,6.04e+00
2048,81,727110,537.23,2472141,6.04e+00
2048,82,730401,534.81,2483360,6.06e+00
2048,83,727040,537.28,2471936,6.04e+00
2048,84,727080,537.25,2472072,6.04e+00
2048,85,727371,537.04,2473058,6.04e+00
2048,86,727140,537.21,2472276,6.04e+00
2048,87,731631,533.91,2487542,6.07e+00
2048,88,727320,537.07,2472888,6.04e+00
2048,89,727100,537.24,2472140,6.04e+00
2048,90,727121,537.22,2472208,6.04e+00
2048,91,727150,537.20,2472310,6.04e+00
2048,92,727101,537.24,2472140,6.04e+00
2048,93,734110,532.11,2496007,6.09e+00
2048,94,727140,537.21,2472243,6.04e+00
2048,95,727111,537.23,2472174,6.04e+00
2048,96,727130,537.21,2472242,6.04e+00
2048,97,727111,537.23,2472174,6.04e+00
2048,98,729310,535.61,2479654,6.05e+00
2048,99,727140,537.21,2472276,6.04e+00
4096,0,1432931,545.21,4871929,5.95e+00
4096,1,1436801,543.74,4885120,5.96e+00
4096,2,1444041,541.02,4909769,5.99e+00
4096,3,1434591,544.58,4877606,5.95e+00
4096,4,1435980,544.05,4882332,5.96e+00
4096,5,1433691,544.92,4874546,5.95e+00
4096,6,1438791,542.99,4891919,5.97e+00
4096,7,1436281,543.94,4883352,5.96e+00
4096,8,1443391,541.26,4907526,5.99e+00
4096,9,1434550,544.60,4877470,5.95e+00
4096,10,1435061,544.40,4879204,5.96e+00
4096,11,1439451,542.74,4894130,5.97e+00
4096,12,1438361,543.15,4890424,5.97e+00
4096,13,1449521,538.97,4928368,6.02e+00
4096,14,1435260,544.33,4879884,5.96e+00
4096,15,1439091,542.88,4892939,5.97e+00
4096,16,1434591,544.58,4877606,5.95e+00
4096,17,1442361,541.65,4904024,5.99e+00
4096,18,1437900,543.33,4888860,5.97e+00
4096,19,1442081,541.75,4903072,5.99e+00
4096,20,1489181,524.62,5063212,6.18e+00
4096,21,1439271,542.81,4893485,5.97e+00
4096,22,1440921,542.19,4899095,5.98e+00
4096,23,1438640,543.05,4891410,5.97e+00
4096,24,1441161,542.10,4899910,5.98e+00
4096,25,1435501,544.24,4880700,5.96e+00
4096,26,1443041,541.39,4906403,5.99e+00
4096,27,1443271,541.31,4907118,5.99e+00
4096,28,1432520,545.37,4870534,5.95e+00
4096,29,1439901,542.57,4895626,5.98e+00
4096,30,1446471,540.11,4917931,6.00e+00
4096,31,1441811,541.85,4902154,5.98e+00
4096,32,1435961,544.06,4882297,5.96e+00
4096,33,1433700,544.92,4874580,5.95e+00
4096,34,1440881,542.20,4899025,5.98e+00
4096,35,1439811,542.61,4895354,5.98e+00
4096,36,1434511,544.61,4877367,5.95e+00
4096,37,1441861,541.83,4902324,5.98e+00
4096,38,1442730,541.51,4905249,5.99e+00
4096,39,1441881,541.83,4902392,5.98e+00
4096,40,1438391,543.14,4890526,5.97e+00
4096,41,1438111,543.25,4889574,5.97e+00
4096,42,1439730,542.64,4895082,5.98e+00
4096,43,1442421,541.62,4904228,5.99e+00
4096,44,1441771,541.87,4902018,5.98e+00
4096,45,1436261,543.95,4883284,5.96e+00
4096,46,1443641,541.17,4908376,5.99e+00
4096,47,1441810,541.85,4902154,5.98e+00
4096,48,1433861,544.86,4875124,5.95e+00
4096,49,1440411,542.38,4897394,5.98e+00
4096,50,1441811,541.85,4902187,5.98e+00
4096,51,1443651,541.16,4908410,5.99e+00
4096,52,1436290,543.94,4883386,5.96e+00
4096,53,1441831,541.85,4902222,5.98e+00
4096,54,1444381,540.89,4910859,5.99e+00
4096,55,1449231,539.08,4927382,6.01e+00
4096,56,1438161,543.23,4889744,5.97e+00
4096,57,1444150,540.98,4910110,5.99e+00
4096,58,1441861,541.83,4902324,5.98e+00
4096,59,1441861,541.83,4902357,5.98e+00
4096,60,1444081,541.00,4909872,5.99e+00
4096,61,1436290,543.94,4883386,5.96e+00
4096,62,1441831,541.85,4902222,5.98e+00
4096,63,1444081,541.00,4909872,5.99e+00
4096,64,1441781,541.86,4902052,5.98e+00
4096,65,1443981,541.04,4909532,5.99e+00
4096,66,1441800,541.86,4902120,5.98e+00
4096,67,1437251,543.57,4886650,5.97e+00
4096,68,1442891,541.45,4905826,5.99e+00
4096,69,1441851,541.84,4902290,5.98e+00
4096,70,1441871,541.83,4902358,5.98e+00
4096,71,1444070,541.01,4909838,5.99e+00
4096,72,1436301,543.93,4883420,5.96e+00
4096,73,1441811,541.85,4902154,5.98e+00
4096,74,1443731,541.13,4908682,5.99e+00
4096,75,1439931,542.56,4895762,5.98e+00
4096,76,1440100,542.50,4896340,5.98e+00
4096,77,1441821,541.85,4902188,5.98e+00
4096,78,1441831,541.85,4902222,5.98e+00
4096,79,1443651,541.16,4908377,5.99e+00
4096,80,1441841,541.84,4902256,5.98e+00
4096,81,1441840,541.84,4902256,5.98e+00
4096,82,1443581,541.19,4908205,5.99e+00
4096,83,1441831,541.85,4902222,5.98e+00
4096,84,1436301,543.93,4883420,5.96e+00
4096,85,1443660,541.16,4908444,5.99e+00
4096,86,1441811,541.85,4902154,5.98e+00
4096,87,1441801,541.86,4902120,5.98e+00
4096,88,1443631,541.17,4908309,5.99e+00
4096,89,1454311,537.20,4944654,6.04e+00
4096,90,1524430,512.49,5183130,6.33e+00
4096,91,1882862,414.93,6401826,7.81e+00
4096,92,2009531,388.77,6832402,8.34e+00
4096,93,1638551,476.79,5571104,6.80e+00
4096,94,1890311,413.29,6427156,7.85e+00
4096,95,1532900,509.65,5211860,6.36e+00
4096,96,1455071,536.92,4947238,6.04e+00
4096,97,1453811,537.38,4942954,6.03e+00
4096,98,1441851,541.84,4902290,5.98e+00
4096,99,1441891,541.82,4902393,5.98e+00
8192,0,2841371,549.91,9660658,5.90e+00
8192,1,2854302,547.42,9704620,5.92e+00
8192,2,2839931,550.19,9655762,5.89e+00
8192,3,2842582,549.68,9664772,5.90e+00
8192,4,2988091,522.91,10159574,6.20e+00
8192,5,2845852,549.04,9675856,5.91e+00
8192,6,2851242,548.01,9694216,5.92e+00
8192,7,2850121,548.22,9690408,5.91e+00
8192,8,2871152,544.21,9761910,5.96e+00
8192,9,2853731,547.53,9702682,5.92e+00
8192,10,2851392,547.98,9694726,5.92e+00
8192,11,2848191,548.59,9683846,5.91e+00
8192,12,2931002,533.09,9965400,6.08e+00
8192,13,2839852,550.20,9655490,5.89e+00
8192,14,2842031,549.78,9662902,5.90e+00
8192,15,2842832,549.63,9665622,5.90e+00
8192,16,2839801,550.21,9655353,5.89e+00
8192,17,2841782,549.83,9662019,5.90e+00
8192,18,2848081,548.62,9683505,5.91e+00
8192,19,2841522,549.88,9661168,5.90e+00
8192,20,2851882,547.88,9696359,5.92e+00
8192,21,2844411,549.32,9671027,5.90e+00
8192,22,2844242,549.36,9670416,5.90e+00
8192,23,2842431,549.71,9664262,5.90e+00
8192,24,2844172,549.37,9670211,5.90e+00
8192,25,2844181,549.37,9670179,5.90e+00
8192,26,2859102,546.50,9720940,5.93e+00
8192,27,2842411,549.71,9664227,5.90e+00
8192,28,2855312,547.23,9708054,5.93e+00
8192,29,2846162,548.98,9676944,5.91e+00
8192,30,2842361,549.72,9664024,5.90e+00
8192,31,2871912,544.06,9764494,5.96e+00
8192,32,2909281,537.07,9891552,6.04e+00
8192,33,2860452,546.24,9725497,5.94e+00
8192,34,2842411,549.71,9664194,5.90e+00
8192,35,2844692,549.27,9671979,5.90e+00
8192,36,2844342,549.34,9670789,5.90e+00
8192,37,2842041,549.78,9662936,5.90e+00
8192,38,2851542,547.95,9695269,5.92e+00
8192,39,2856891,546.92,9713426,5.93e+00
8192,40,2841902,549.81,9662460,5.90e+00
8192,41,2845491,549.11,9674666,5.90e+00
8192,42,2862942,545.77,9733996,5.94e+00
8192,43,2842031,549.78,9662902,5.90e+00
8192,44,2840112,550.15,9656374,5.89e+00
8192,45,2841582,549.87,9661372,5.90e+00
8192,46,2841551,549.88,9661270,5.90e+00
8192,47,2841342,549.92,9660556,5.90e+00
8192,48,2834591,551.23,9637606,5.88e+00
8192,49,2836412,550.87,9643794,5.89e+00
8192,50,2836431,550.87,9643862,5.89e+00
8192,51,3147642,496.40,10702078,6.53e+00
8192,52,2924132,534.35,9942042,6.07e+00
8192,53,2844041,549.39,9669635,5.90e+00
8192,54,2856362,547.02,9711624,5.93e+00
8192,55,2840141,550.15,9656476,5.89e+00
8192,56,2847072,548.81,9680038,5.91e+00
8192,57,2841722,549.84,9661881,5.90e+00
8192,58,2839961,550.18,9655897,5.89e+00
8192,59,2841742,549.84,9661916,5.90e+00
8192,60,2850311,548.19,9691087,5.91e+00
8192,61,2845872,549.04,9675958,5.91e+00
8192,62,2836961,550.77,9645664,5.89e+00
8192,63,2839102,550.35,9652940,5.89e+00
8192,64,2846051,549.01,9676570,5.91e+00
8192,65,2850002,548.25,9690000,5.91e+00
8192,66,2846542,548.91,9678236,5.91e+00
8192,67,3095641,504.74,10525244,6.42e+00
8192,68,2842952,549.60,9665996,5.90e+00
