size,run,elapsed_ns,mbps,cycles,cpb
{
  "summary": [
2048,0,1680931,232.39,5715060,1.40e+01
2048,1,1617151,241.55,5498344,1.34e+01
2048,2,1259631,310.11,4282708,1.05e+01
2048,3,1289851,302.85,4385592,1.07e+01
2048,4,1273250,306.79,4329050,1.06e+01
2048,5,1267781,308.12,4310452,1.05e+01
2048,6,1259421,310.16,4282028,1.05e+01
2048,7,1419290,275.23,4825552,1.18e+01
2048,8,1297711,301.01,4412180,1.08e+01
2048,9,1587061,246.13,5396004,1.32e+01
2048,10,1567521,249.20,5329602,1.30e+01
2048,11,1448521,269.67,4924968,1.20e+01
2048,12,1496921,260.95,5089528,1.24e+01
2048,13,1575570,247.93,5357006,1.31e+01
2048,14,1552791,251.56,5279452,1.29e+01
2048,15,1612071,242.31,5481038,1.34e+01
2048,16,1296021,301.40,4406468,1.08e+01
2048,17,1328211,294.10,4515982,1.10e+01
2048,18,1265760,308.61,4303584,1.05e+01
2048,19,1519621,257.05,5166742,1.26e+01
2048,20,1561161,250.21,5307944,1.30e+01
2048,21,1564491,249.68,5319300,1.30e+01
2048,22,1601071,243.98,5443638,1.33e+01
2048,23,1269060,307.81,4314804,1.05e+01
2048,24,1313711,297.34,4466682,1.09e+01
2048,25,1262081,309.51,4291106,1.05e+01
2048,26,1559571,250.47,5302538,1.29e+01
2048,27,1564401,249.70,5318960,1.30e+01
2048,28,1726400,226.27,5869760,1.43e+01
2048,29,1600441,244.07,5441564,1.33e+01
2048,30,1261031,309.77,4287502,1.05e+01
2048,31,1279861,305.21,4351524,1.06e+01
2048,32,1549651,252.07,5268844,1.29e+01
2048,33,1558620,250.62,5299308,1.29e+01
2048,34,1385911,281.85,4712094,1.15e+01
2048,35,1012011,385.99,3440834,8.40e+00
2048,36,1012030,385.98,3440902,8.40e+00
2048,37,1012421,385.83,3442228,8.40e+00
2048,38,1022670,381.97,3477112,8.49e+00
2048,39,1036951,376.71,3525663,8.61e+00
2048,40,1009111,387.10,3430974,8.38e+00
2048,41,1030620,379.02,3504075,8.55e+00
2048,42,1010581,386.54,3435972,8.39e+00
2048,43,1027060,380.33,3492004,8.53e+00
2048,44,1044551,373.96,3551437,8.67e+00
2048,45,1024710,381.21,3484014,8.51e+00
2048,46,1022851,381.90,3477690,8.49e+00
2048,47,1023010,381.84,3478234,8.49e+00
2048,48,1023011,381.84,3478234,8.49e+00
2048,49,1037841,376.38,3528690,8.61e+00
2048,50,1013900,385.27,3447260,8.42e+00
2048,51,1011041,386.36,3437536,8.39e+00
2048,52,1012650,385.75,3443010,8.41e+00
2048,53,1018811,383.41,3463987,8.46e+00
2048,54,1016970,384.11,3457698,8.44e+00
2048,55,1016981,384.10,3457732,8.44e+00
2048,56,1016971,384.11,3457698,8.44e+00
2048,57,1018120,383.67,3461608,8.45e+00
2048,58,1033981,377.79,3515565,8.58e+00
2048,59,1211010,322.56,4117569,1.01e+01
2048,60,1569991,248.81,5338034,1.30e+01
2048,61,1636191,238.74,5563046,1.36e+01
2048,62,1666691,234.37,5666746,1.38e+01
2048,63,1661141,235.15,5647876,1.38e+01
2048,64,1040490,375.42,3537666,8.64e+00
2048,65,1033801,377.85,3514920,8.58e+00
2048,66,1032681,378.26,3511112,8.57e+00
2048,67,1026620,380.50,3490541,8.52e+00
2048,68,1029001,379.62,3498600,8.54e+00
2048,69,1018820,383.41,3463988,8.46e+00
2048,70,1021161,382.53,3471944,8.48e+00
2048,71,1018240,383.63,3462016,8.45e+00
2048,72,1027201,380.28,3492480,8.53e+00
2048,73,1018701,383.45,3463613,8.46e+00
2048,74,1021640,382.35,3473576,8.48e+00
2048,75,1029861,379.30,3501491,8.55e+00
2048,76,1026920,380.39,3491528,8.52e+00
2048,77,1023131,381.79,3478642,8.49e+00
2048,78,1027750,380.08,3494350,8.53e+00
2048,79,1023671,381.59,3480478,8.50e+00
2048,80,1032560,378.31,3510704,8.57e+00
2048,81,1024961,381.11,3484864,8.51e+00
